run_id,rank_weight,seed,rank_tag,split,pred_col,status,metrics_path,predictions_path,runtime_s,best_epoch,trainable_params,total_params,ranking_train_pairs,ranking_pairs_per_step,n,mae_mev_atom,rmse_mev_atom,median_abs_mev_atom,p90_abs_mev_atom,p95_abs_mev_atom,p99_abs_mev_atom,bias_mev_atom,r2
rankw010_seed20260529,0.1,20260529,rankw010,test,pred_r2scan_formdelta_rankw010,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260529/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260529/r2scan_formdelta_rankw010_predictions.csv,433.97203540802,200,498404,498643,4595,1024,3711,18.980051611801034,43.704966635389084,9.777162030033482,38.59591995190348,61.74166169874845,167.75811572431792,-0.838070082689532,0.9981052035378755
rankw010_seed20260530,0.1,20260530,rankw010,train,pred_r2scan_formdelta_rankw010,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260530/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260530/r2scan_formdelta_rankw010_predictions.csv,437.17151618003845,198,498404,498643,4595,1024,29692,14.336927661997898,40.6893270526034,7.395550929547634,28.13572965485261,42.51349851026029,111.87965259156469,-1.5475027264452563,0.9983165370793234
rankw010_seed20260530,0.1,20260530,rankw010,val,pred_r2scan_formdelta_rankw010,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260530/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260530/r2scan_formdelta_rankw010_predictions.csv,437.17151618003845,198,498404,498643,4595,1024,3712,18.780088477191708,43.63046906666446,9.40028495056855,39.30471803597531,61.40895425974977,155.98781450787675,-2.6483363143083225,0.9980522027952986
rankw010_seed20260530,0.1,20260530,rankw010,test,pred_r2scan_formdelta_rankw010,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260530/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw010/rankw010_seed20260530/r2scan_formdelta_rankw010_predictions.csv,437.17151618003845,198,498404,498643,4595,1024,3711,18.794731504641437,43.150799867326825,9.395638639489334,36.98917065185303,59.58030051373952,161.3468417263345,-1.131679808098304,0.9981529498810419
rankw020_seed20260528,0.2,20260528,rankw020,train,pred_r2scan_formdelta_rankw020,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260528/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260528/r2scan_formdelta_rankw020_predictions.csv,436.3724181652069,196,498404,498643,4595,1024,29692,14.617210249228277,40.84625719652782,7.511882140731785,28.864783035731513,43.70389515034693,111.7103480716066,-0.41330348490763963,0.9983035265159855
rankw020_seed20260528,0.2,20260528,rankw020,val,pred_r2scan_formdelta_rankw020,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260528/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260528/r2scan_formdelta_rankw020_predictions.csv,436.3724181652069,196,498404,498643,4595,1024,3712,19.237044867031326,42.23645547828945,9.702015132410452,41.81002277439983,61.62927772255547,156.43744611442185,-1.1340708266934807,0.9981746804578806
rankw020_seed20260528,0.2,20260528,rankw020,test,pred_r2scan_formdelta_rankw020,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260528/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260528/r2scan_formdelta_rankw020_predictions.csv,436.3724181652069,196,498404,498643,4595,1024,3711,19.553539431287607,44.678394686394846,10.117192338711396,39.43351723800609,61.32451634123076,184.6104266187786,0.5103567860013241,0.998019859074816
rankw020_seed20260529,0.2,20260529,rankw020,train,pred_r2scan_formdelta_rankw020,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260529/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260529/r2scan_formdelta_rankw020_predictions.csv,434.8458752632141,200,498404,498643,4595,1024,29692,14.636687629731187,39.845276295968425,7.617460902577311,29.681434707076452,44.69855176517022,113.10992064975524,-1.1355724497117812,0.9983856554716861
rankw020_seed20260529,0.2,20260529,rankw020,val,pred_r2scan_formdelta_rankw020,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260529/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260529/r2scan_formdelta_rankw020_predictions.csv,434.8458752632141,200,498404,498643,4595,1024,3712,19.505884005754595,43.999971548522645,9.772746775796204,42.2236810765946,67.31640733061555,162.30428245056748,-2.591138540128971,0.9980190716591422
rankw020_seed20260529,0.2,20260529,rankw020,test,pred_r2scan_formdelta_rankw020,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260529/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260529/r2scan_formdelta_rankw020_predictions.csv,434.8458752632141,200,498404,498643,4595,1024,3711,20.026846515237768,45.136570963021,9.999694421566174,40.3293265316762,63.48881299795539,173.03519551434346,-0.31763050385743674,0.9979790382020518
rankw020_seed20260530,0.2,20260530,rankw020,train,pred_r2scan_formdelta_rankw020,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260530/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260530/r2scan_formdelta_rankw020_predictions.csv,100.69353222846985,193,498404,498643,4595,1024,29692,14.907937417617717,41.5233999261479,7.696986380685389,29.498956408874797,45.051320214708205,110.57377452912307,-1.1092987031975319,0.9982468125499546
rankw020_seed20260530,0.2,20260530,rankw020,val,pred_r2scan_formdelta_rankw020,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260530/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260530/r2scan_formdelta_rankw020_predictions.csv,100.69353222846985,193,498404,498643,4595,1024,3712,19.46129704273439,44.31710089966241,9.69351005603375,39.91064273256879,64.18564846657085,175.30996680590073,-2.5183212863734625,0.9979904137119802
rankw020_seed20260530,0.2,20260530,rankw020,test,pred_r2scan_formdelta_rankw020,completed,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260530/metrics.json,<RUNS_ROOT>/r2scan_rank_weight_sweep_20260909/runs/rankw020/rankw020_seed20260530/r2scan_formdelta_rankw020_predictions.csv,100.69353222846985,193,498404,498643,4595,1024,3711,19.406971423511333,43.62441790425748,9.948828313939062,39.22221077876745,60.95572268765348,163.7033188484778,-0.7452214915032793,0.9981121813630139
