method,pred_col,subset,n,mae_mev_atom,rmse_mev_atom,median_abs_mev_atom,p90_abs_mev_atom,p95_abs_mev_atom,p99_abs_mev_atom,bias_mev_atom,r2
simple_residual,pred_simple_residual_ensemble,multinary_test_rows,4981,4.638202532154565,22.44908875046027,2.225150666666731,7.698250000000018,12.197250000000007,43.82925439999996,-2.0092446765115657,0.976381200938379
simple_residual,pred_simple_residual_ensemble,unary_test_rows,19,1501.7172963157896,2805.3829479023907,252.73886666666723,5079.610280000001,5426.844450999994,7676.525618200001,1372.7687454385966,0.18175380317582335
canonical_formdelta_seed20260528,pred_canonical_formdelta_seed20260528,all_test_rows,5000,12.153159268314393,138.24319268700955,4.492403611111152,16.296975750000055,24.915952149999992,73.4712029,2.0270916978682454,0.8502146937082128
canonical_formdelta_seed20260528,pred_canonical_formdelta_seed20260528,multinary_test_rows,4981,7.693173929245528,14.578843351379538,4.462259999999995,16.06887,24.037149999999993,59.81152799999999,-2.2552663141254317,0.9900389179676556
canonical_formdelta_seed20260528,pred_canonical_formdelta_seed20260528,unary_test_rows,19,1181.3735263157896,2230.1430986062865,144.58539999999996,4849.71836,4869.69052,4884.213784,1124.681052631579,0.48291117623651847
canonical_formdelta_seed20260529,pred_canonical_formdelta_seed20260529,all_test_rows,5000,13.390751469800634,140.8766167796759,5.126950642857118,18.4883394,27.711247333333354,73.87649029666686,2.325539754744244,0.8444537561764355
canonical_formdelta_seed20260529,pred_canonical_formdelta_seed20260529,multinary_test_rows,4981,8.645235064552603,15.721615269127382,5.096853333333401,18.022813,27.140949999999997,61.48803066666662,-2.0053626685562693,0.988416102497607
canonical_formdelta_seed20260529,pred_canonical_formdelta_seed20260529,unary_test_rows,19,1257.465341708772,2271.0993866596714,178.88363333333325,4896.88192,4910.4486400000005,4912.083328000001,1137.7058013578949,0.4637442404526335
canonical_formdelta_seed20260530,pred_canonical_formdelta_seed20260530,all_test_rows,5000,13.382697173626847,145.84453202612534,4.990730499999997,17.549254000000065,25.827154000000004,69.89528131,2.6114216813515045,0.8332898646590359
canonical_formdelta_seed20260530,pred_canonical_formdelta_seed20260530,multinary_test_rows,4981,8.202953287452496,14.553425062462654,4.962203333333304,17.148899999999966,25.102399999999967,55.419883999999925,-1.5824284286774697,0.9900736220841203
canonical_formdelta_seed20260530,pred_canonical_formdelta_seed20260530,unary_test_rows,19,1371.2934496491227,2354.146967484287,328.58366666666683,5020.343,5040.21746,5098.267172,1102.0623373684211,0.42380851802461617
canonical_formdelta,pred_canonical_formdelta_ensemble,all_test_rows,5000,12.176156805830773,141.20544838110186,4.2900748333333585,15.843050333333393,23.86019133333335,68.0258485766671,2.321351044654664,0.8437267623489352
canonical_formdelta,pred_canonical_formdelta_ensemble,multinary_test_rows,4981,7.439637733498069,13.953386884482459,4.276401666666735,15.590751428571414,22.882421333333326,54.88504519999994,-1.9476858037863902,0.9908752778342942
canonical_formdelta,pred_canonical_formdelta_ensemble,unary_test_rows,19,1253.8920251894738,2279.486408889249,249.6075666666675,4929.795546666666,4945.355173333333,4953.932581333333,1121.483063785965,0.45977621188090223
