id,formula,cif_path,split,y_true,model_energy_per_atom,pred_element_reference,pred_affine_energy_composition,pred_composition_only_linear,natoms,nelements
mp-1104661,Ca3Pd2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1104661.cif,train,-0.6149498026666682,-3.911697642008464,-0.7128221103748191,-0.7120289427805604,-0.9887546298174824,15,2
mp-697921,Mg5H8O9,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-697921.cif,train,-1.9689697328977267,-5.426408941095525,-2.010537108220692,-2.0125678174133217,-1.3040802284586483,22,3
mp-19915,Sr4In2N,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-19915.cif,train,-0.6290801355357141,-3.4355831146240234,-0.6234681885223972,-0.6230458482823806,-0.7703947741924726,14,3
mp-5456,Sr2CuO3,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-5456.cif,train,-2.309175129375,-5.808504740397136,-2.4247306454890767,-2.4259693618980918,-1.9937975840729456,6,3
mp-29914,Er7(NiTe)2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-29914.cif,train,-0.7417529821212167,-5.20073838667436,-0.7734737291376357,-0.7724995333987525,-1.1123835466887522,11,3
mp-30034,MgBr2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-30034.cif,train,-1.717677860000002,-3.1229368845621743,-1.6397727855176645,-1.641407322416805,-1.0711390087922088,3,2
mp-1224723,Gd3Y13O24,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1224723.cif,train,-3.873239814750002,-9.664462280273437,-3.910943747171161,-3.9149228066576143,-2.5266815596431607,40,3
mp-15793,LiTbSe2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-15793.cif,train,-1.9654745861979173,-5.073769569396973,-1.9035459300254485,-1.905378669040448,-1.265960257654428,4,3
mp-867795,ScNbTc2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-867795.cif,train,-0.2609400512499995,-9.542244911193848,-0.1615333006202082,-0.1623753245488348,0.1313956915875987,4,3
mp-28755,GdCBr,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-28755.cif,train,-1.261554105833336,-9.404491424560549,-1.182192522262591,-1.182499182942145,-1.0755093262593336,6,3
mp-1206528,Cs2MnF4,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1206528.cif,train,-2.9738240306403947,-5.114982604980469,-2.88798621718512,-2.8889495075550737,-2.5528702332993096,7,3
mp-570571,ThMg2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-570571.cif,train,0.0029356204166693,-3.5254945755004883,-0.0056641652551907,-0.0040982714450645,-0.550417918860294,24,2
mp-978807,Sm2TlHg,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-978807.cif,train,-0.5430742393750023,-3.450659275054932,-0.5171814159536683,-0.5169692599276772,-0.5909876924463071,4,3
mp-973524,HoVB4,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-973524.cif,train,-0.7824058604166666,-7.450773239135742,-0.7824936278738486,-0.7828186690341559,-0.6694161056279954,24,3
mp-1186523,Pm3Nd,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1186523.cif,train,0.0203900649999972,-4.742589473724365,-0.0250509233365585,-0.0241574486996034,-0.3358789367612684,4,2
mp-1078504,YbIn2Pt,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1078504.cif,train,-0.8524491725000019,-3.991973400115967,-0.8653168835112313,-0.8665572639275032,-0.4338049359661582,8,3
mp-1217837,SrV4O10,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1217837.cif,train,-2.7143665425,-7.473273722330729,-2.159918923635561,-2.1591916613735664,-2.412923849326759,15,3
mp-1215627,Zr2VRe3,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1215627.cif,train,-0.4472254329166674,-10.96194330851237,-0.4188786216333806,-0.4198579648544172,-0.07817806309479,12,3
mp-23514,BiSI,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-23514.cif,train,-0.4773633201041652,-3.578305244445801,-0.5301665128248687,-0.5290810668770103,-0.907778807221744,12,3
mp-1094570,LiMg2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1094570.cif,train,-0.0241593438888886,-1.729831059773763,-0.0899429390984376,-0.0896408674977546,-0.1950296552348797,6,2
