run_id,method,fraction,seed,runtime_s,gpu_hours,trainable_params,total_params,test_mae_mev_atom,gpu_inventory,foundation_inference_rerun,notes
classical_delta_frac100_seed20260530,classical_delta,0.1,20260530,26.489872217178345,0.0073582978381050955,,,32.83454481203733,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
feature_stacking_frac100_seed20260528,feature_stacking,0.1,20260528,35.91848373413086,0.009977356592814127,498404.0,498643.0,84.77827739959694,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
feature_stacking_frac100_seed20260529,feature_stacking,0.1,20260529,38.219733238220215,0.010616592566172282,498404.0,498643.0,86.94814750753763,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
feature_stacking_frac100_seed20260530,feature_stacking,0.1,20260530,43.71460294723511,0.012142945263120862,498404.0,498643.0,84.72301107527827,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
formdelta_frac100_seed20260528,formdelta,0.1,20260528,31.76888370513916,0.008824689918094212,498404.0,498643.0,58.28181151202694,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
formdelta_frac100_seed20260529,formdelta,0.1,20260529,32.27664303779602,0.008965734177165561,498404.0,498643.0,58.825413474680055,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
formdelta_frac100_seed20260530,formdelta,0.1,20260530,32.32523965835571,0.008979233238432142,498404.0,498643.0,58.584426545850434,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
target_only_frac100_seed20260528,target_only,0.1,20260528,39.198763608932495,0.010888545446925694,498404.0,498643.0,268.85546014900416,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
target_only_frac100_seed20260529,target_only,0.1,20260529,40.04546642303467,0.011123740673065185,498404.0,498643.0,280.8424812184696,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
target_only_frac100_seed20260530,target_only,0.1,20260530,44.73063898086548,0.012425177494684855,498404.0,498643.0,265.00446966062464,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
classical_delta_frac250_seed20260528,classical_delta,0.25,20260528,34.185741901397705,0.009496039417054918,,,23.957311044730734,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
classical_delta_frac250_seed20260529,classical_delta,0.25,20260529,30.544739961624146,0.00848464998934004,,,24.03536974615565,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
classical_delta_frac250_seed20260530,classical_delta,0.25,20260530,26.348376989364624,0.00731899360815684,,,24.60445743382699,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
feature_stacking_frac250_seed20260528,feature_stacking,0.25,20260528,55.91447448730469,0.015531798468695747,498404.0,498643.0,58.57786898879047,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
feature_stacking_frac250_seed20260529,feature_stacking,0.25,20260529,53.222468852996826,0.014784019125832451,498404.0,498643.0,57.820045801337336,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
feature_stacking_frac250_seed20260530,feature_stacking,0.25,20260530,61.39369225502014,0.01705380340417226,498404.0,498643.0,58.9972605791755,"0, NVIDIA GeForce RTX 4090, 24564 MiB
1, NVIDIA GeForce RTX 4090, 24564 MiB
2, NVIDIA GeForce RTX 4090, 24564 MiB
3, NVIDIA GeForce RTX 4090, 24564 MiB",False,wall-clock runtime from driver job_status; foundation predictions and caches reused
