method,method_label,fraction,split,n_runs,n_mean,n_std,n_sem,n_min,n_max,mae_mev_atom_mean,mae_mev_atom_std,mae_mev_atom_sem,mae_mev_atom_min,mae_mev_atom_max,rmse_mev_atom_mean,rmse_mev_atom_std,rmse_mev_atom_sem,rmse_mev_atom_min,rmse_mev_atom_max,median_abs_mev_atom_mean,median_abs_mev_atom_std,median_abs_mev_atom_sem,median_abs_mev_atom_min,median_abs_mev_atom_max,p90_abs_mev_atom_mean,p90_abs_mev_atom_std,p90_abs_mev_atom_sem,p90_abs_mev_atom_min,p90_abs_mev_atom_max,p95_abs_mev_atom_mean,p95_abs_mev_atom_std,p95_abs_mev_atom_sem,p95_abs_mev_atom_min,p95_abs_mev_atom_max,p99_abs_mev_atom_mean,p99_abs_mev_atom_std,p99_abs_mev_atom_sem,p99_abs_mev_atom_min,p99_abs_mev_atom_max,bias_mev_atom_mean,bias_mev_atom_std,bias_mev_atom_sem,bias_mev_atom_min,bias_mev_atom_max,r2_mean,r2_std,r2_sem,r2_min,r2_max,runtime_s_mean,runtime_s_std,runtime_s_sem,runtime_s_min,runtime_s_max,best_epoch_mean,best_epoch_std,best_epoch_sem,best_epoch_min,best_epoch_max,trainable_params_mean,trainable_params_std,trainable_params_sem,trainable_params_min,trainable_params_max,total_params_mean,total_params_std,total_params_sem,total_params_min,total_params_max
element_reference,Element-reference calibration,0.5,train_used,3,14846.0,0.0,0.0,14846.0,14846.0,107.5991931991005,0.743017839209424,0.428981549480255,106.79626300779992,108.2624842680746,173.98893332342763,0.7329234108446752,0.4231535285465519,173.3824982896836,174.8033789093159,64.36002080056964,0.39316599867345986,0.2269944951703301,63.96199937549703,64.74814447247223,248.31038804974108,2.907878319907297,1.6788643307691546,245.621162179888,251.3962087520152,377.82439770049723,2.036911187855274,1.1760112226236028,375.5653333813237,379.52092059068514,689.2573977775932,13.604874069735626,7.854777706452824,680.6800494224452,704.9440726504292,1.0921485598827972e-11,2.4488548062368513e-12,1.413846981587155e-12,8.138863570850359e-12,1.2748285819444966e-11,0.9690903928536594,0.0001882494035525901,0.00010868584381587439,0.9689224719015864,0.9692938930859658,,,,,,,,,,,,,,,,,,,,
raw,Raw pretrained PBE/GGA predictor,0.5,train_used,3,14846.0,0.0,0.0,14846.0,14846.0,4492.955486586066,8.491078011117683,4.9023261754289065,4485.455735597246,4502.174704556511,4877.913768889913,7.039061243033798,4.0640039035078255,4873.286349084781,4886.014414306504,4336.678940702503,14.427359218105565,8.329639728268678,4320.154239107988,4346.771420434415,7024.822674589131,16.61924022978522,9.595122820393556,7008.506038832308,7041.728831857911,8065.022941394634,16.93462479270292,9.777210182692341,8054.883577635501,8084.572833693584,9923.969301249532,16.31448679508574,9.419173342833348,9911.183283344477,9942.343578456535,-4492.95542083149,8.490970921309485,4.902264347099316,-4502.17450729278,-4485.455735597246,-23.29567193826539,0.21422336085662605,0.12368191505727939,-23.45072969960018,-23.051231505199453,,,,,,,,,,,,,,,,,,,,
affine_energy_composition,Linear energy+composition calibration,0.5,val,3,3712.0,0.0,0.0,3712.0,3712.0,105.34056179894549,0.609674995009007,0.351996022486634,104.91081682216816,106.03833494040911,167.66574164077198,0.42958394018974344,0.2480204035080885,167.32223575361155,168.1474060891137,64.47103296974115,0.6310523186999921,0.364338226074178,63.764114227769205,64.97754935011658,240.04148303069618,4.7887498228075085,2.7647859992796877,236.2839638875742,245.43349071223216,372.7955585303758,1.4515205662160282,0.838035789639102,371.1708488829885,373.9644955681703,663.0608388472034,15.133195870194015,8.737154709355847,647.794885780442,678.0576883403951,-0.07799055826538488,1.2567293198028522,0.725573011086672,-1.466964744786441,0.980408083500776,0.9712356514033301,0.0001474779062272037,8.514640885979845e-05,0.9710702741376402,0.9713535181944536,,,,,,,,,,,,,,,,,,,,
classical_delta,Classical residual adapter,0.5,val,3,3712.0,0.0,0.0,3712.0,3712.0,20.115584053841705,0.3570727285578743,0.20615603595316292,19.741043085322183,20.4521536695628,50.10098395567695,2.336805091313166,1.3491550485133446,47.43752446208218,51.807074062651594,10.329088375871075,0.05333790635070868,0.03079465458959271,10.271182455386525,10.376210280317807,40.395221963175146,0.5915415636369156,0.34152668100262534,39.71239048100051,40.751714067331875,62.710226836599645,1.6873208024331559,0.9741751194940379,60.87759353703841,64.19938105701276,176.27446241234804,1.1970741208170406,0.691131065893653,175.40983221865386,177.6407461499129,-1.6129326437522158,0.11163039978474805,0.06444984136546983,-1.7083090710899425,-1.4901521602593473,0.9974279116016844,0.00023673411090240437,0.00013667850265586988,0.9972537371358307,0.9976974556263406,46.61013340950012,4.222814758242295,2.4380432374091137,43.31511878967285,51.37040853500366,192.0,7.211102550927978,4.163331998932265,186.0,200.0,,,,,,,,,,
composition_only_linear,Composition-only linear baseline,0.5,val,3,3712.0,0.0,0.0,3712.0,3712.0,364.7479368429545,0.49870076722386186,0.2879250222017696,364.2111863784224,365.1969405872226,518.8150865567187,0.4700068934630669,0.2713586064618814,518.2815122503044,519.167782525269,243.23109858873985,1.3310149605571593,0.7684618457730951,241.69827080448545,244.09462099280245,853.7966645330731,5.145515582078662,2.9707648064325296,850.3837778516245,859.7150532651941,1113.4274061062645,2.2982410540489764,1.3268900912178259,1110.7932683821452,1115.023582080907,1608.1945505925487,4.86549411563912,2.809094337404786,1604.439966967614,1613.691284260033,9.863211528662644,1.1435560405720113,0.6602323878576734,8.553548542027897,10.664014128737325,0.7245838490881505,0.0004989006238824722,0.00028804040949741757,0.7242094110912705,0.7251502105036052,,,,,,,,,,,,,,,,,,,,
element_reference,Element-reference calibration,0.5,val,3,3712.0,0.0,0.0,3712.0,3712.0,105.24250326814824,0.47294429151311546,0.27305451401679404,104.95890178796049,105.78847470634048,167.74153618304229,0.3202939673800955,0.18492180828671137,167.4276268281329,168.0678541186593,64.00420257460655,0.2510912086059714,0.14496757687980608,63.71441029738156,64.15698046967123,239.23676111540018,2.7649808803801412,1.5963624555916431,236.93719486764124,242.30464631502892,373.16257652041804,1.2568035106629312,0.72561584519971,371.7514495537981,374.16156048268806,665.3901645588637,11.001750193623527,6.351863435845561,655.0210759516385,676.9308089572302,-0.10557624322692812,1.2865101281143139,0.7427669687819791,-1.539574552949211,0.9473469291231909,0.9712096952687755,0.00010995309744242398,6.348145040661664e-05,0.971097641461831,0.9713174197727638,,,,,,,,,,,,,,,,,,,,
element_reference_internal,Internal element-reference anchor,0.5,val,9,3712.0,0.0,0.0,3712.0,3712.0,105.24249523963095,0.409582100097153,0.136527366699051,104.95889925190744,105.78846726668098,167.74153394763638,0.2773814238859081,0.09246047462863603,167.42762675564146,168.0678509946291,64.00411707717461,0.217466287169987,0.07248876238999567,63.714308389437925,64.15699898071081,239.23657659893433,2.394688593714189,0.798229531238063,236.9367522384091,242.3045999718908,373.162769733942,1.0884287250595497,0.3628095750198499,371.7516074332672,374.16166841457505,665.3904234775753,9.527921707206643,3.175973902402214,655.0212131774151,676.9312327667756,-0.10565706215416912,1.1141998597588543,0.37139995325295144,-1.53968495388872,0.9474046594996052,0.9712096960367713,9.522173253901384e-05,3.174057751300461e-05,0.9710976425362998,0.9713174197976012,,,,,,,,,,,,,,,,,,,,
feature_stacking,Feature-stacking direct-y baseline,0.5,val,3,3712.0,0.0,0.0,3712.0,3712.0,37.723943749625406,0.4834582541282447,0.2791247531628886,37.199174981176355,38.15123777040911,72.66482948564045,0.5049075800583562,0.29150852726257453,72.1162270198825,73.11003468372681,21.01574368275801,0.6558187826781052,0.37863715071881676,20.455634114652344,21.737167053709317,82.05341301501655,0.5376957598920242,0.3104387917157806,81.5281649328568,82.60274696061053,119.74684623041723,2.625017525398496,1.515554574916307,116.8800208419841,122.03272660896306,281.5685361024535,20.84004297458516,12.032004421300112,264.05283864304175,304.61650897666294,-2.4914009504846977,2.1452089629264073,1.2385369722135593,-4.855782204418125,-0.6695248858566776,0.9945971057133853,7.500435791024161e-05,4.330378622987303e-05,0.9945308736848035,0.9946785502130444,88.66853562990825,12.998569573313208,7.50472764223246,76.17761039733887,102.12131404876709,195.0,1.0,0.5773502691896258,194.0,196.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0
formdelta,Canonical FormDelta fixed-anchor residual,0.5,val,3,3712.0,0.0,0.0,3712.0,3712.0,24.33676778198976,0.28383019471091464,0.16386943932049047,24.056228597363965,24.623778315579305,52.07550601728548,1.951256214403191,1.1265583006436126,49.94328175745825,53.772185822869396,12.397368979236674,0.1028568062798506,0.059384404793656934,12.292857050988065,12.498486638362369,51.550660202441996,0.5261165005841357,0.30375350323735467,51.148128428051386,52.145975198431316,80.68392804446336,1.4899322358021352,0.8602127774146637,79.00270551331084,81.84079263862476,206.8293817928848,9.993712625224667,5.769872674377224,195.3114255516593,213.20220440071378,-1.608781158758627,0.4700382405219956,0.27137670469479225,-2.096215667121392,-1.1583233725186382,0.9972226073886622,0.00020671092164338724,0.00011934460625524527,0.9970414469867366,0.9974477798877228,88.03939469655354,14.06292068018493,8.119231040297125,78.61405563354492,104.20361328125,198.0,1.7320508075688772,1.0,196.0,199.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0
raw,Raw pretrained PBE/GGA predictor,0.5,val,3,3712.0,0.0,0.0,3712.0,3712.0,4524.424723476253,0.0,0.0,4524.424723476253,4524.424723476253,4903.091323745127,0.0,0.0,4903.091323745127,4903.091323745127,4376.554120550105,0.0,0.0,4376.554120550105,4376.554120550105,7025.3955966116455,0.0,0.0,7025.3955966116455,7025.3955966116455,8058.967558171445,0.0,0.0,8058.967558171445,8058.967558171445,9859.598648577685,0.0,0.0,9859.598648577685,9859.598648577685,-4524.424723476253,0.0,0.0,-4524.424723476253,-4524.424723476253,-23.598234582457753,4.351167857633658e-15,2.51214793389404e-15,-23.598234582457756,-23.598234582457756,,,,,,,,,,,,,,,,,,,,
target_only,Target-only small MLP,0.5,val,3,3712.0,0.0,0.0,3712.0,3712.0,101.05990108962715,4.245116996038722,2.450919440404412,96.70202255890342,105.18246823697922,157.7279277466198,9.673829808399866,5.585188243974288,147.17675746699945,166.17960914752283,68.56594342106813,2.0348843585120817,1.1748410321567093,67.21613759208783,70.90646109310434,219.66962674248862,6.047151285466179,3.4913244224942903,212.68699847292953,223.17562100604707,301.5489132723579,13.884965821648867,8.016488754817727,289.4392539985084,316.70370939668305,529.8189719015471,57.70352010650873,33.3151428666818,464.99956026291176,575.5901573843645,-10.59278885263696,4.249031958745917,2.453179745177278,-15.240737053740418,-6.90804080820678,0.9744806905455792,0.0030931371672693496,0.0017858235761633956,0.9717434301459037,0.9778362912192337,90.13011018435161,11.023229710791504,6.3642646408645565,79.61556077003479,101.5998547077179,198.0,2.0,1.1547005383792517,196.0,200.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0
affine_energy_composition,Linear energy+composition calibration,1.0,test,3,3711.0,0.0,0.0,3711.0,3711.0,104.15822204048794,0.0,0.0,104.15822204048794,104.15822204048794,166.82904326153488,0.0,0.0,166.82904326153488,166.82904326153488,65.50261150414217,0.0,0.0,65.50261150414217,65.50261150414217,235.4355958288803,0.0,0.0,235.4355958288803,235.4355958288803,363.32827153909096,0.0,0.0,363.32827153909096,363.32827153909096,662.29736289438,0.0,0.0,662.29736289438,662.29736289438,-4.330251726214451,0.0,0.0,-4.330251726214451,-4.330251726214451,0.9723914055396182,0.0,0.0,0.9723914055396182,0.9723914055396182,,,,,,,,,,,,,,,,,,,,
classical_delta,Classical residual adapter,1.0,test,3,3711.0,0.0,0.0,3711.0,3711.0,16.42478012641239,0.08480995476442338,0.04896505021319982,16.356084222197758,16.51957129968837,41.34286981062417,0.45666883080942067,0.2636578723983307,40.853037269759184,41.75688511258895,8.546654295721273,0.13568707652475925,0.07833897015712311,8.39087355633783,8.63904479174682,32.46348961992379,0.32132574544828,0.18551750563212166,32.223839201853785,32.828622783430404,48.80498200527658,1.2390772338241607,0.7153815744951161,47.940718722699145,50.2245847221785,131.47530194933623,7.820033490145489,4.514898440607387,125.53292444599603,140.33453248014175,-0.0762228657407227,0.21863819121580488,0.12623081855357782,-0.22162500394739246,0.17521354489252686,0.9983043448105536,3.7407056619059616e-05,2.1596974208605643e-05,0.9982703542326015,0.9983444218746512,70.0948235988617,3.30664156330302,1.9090903966866037,66.35910701751709,72.64619827270508,192.66666666666666,7.023769168568492,4.0551750201988135,186.0,200.0,,,,,,,,,,
composition_only_linear,Composition-only linear baseline,1.0,test,3,3711.0,0.0,0.0,3711.0,3711.0,374.51600306460097,6.961868572213853e-14,4.019436694230464e-14,374.516003064601,374.516003064601,537.9054083814397,0.0,0.0,537.9054083814397,537.9054083814397,238.67819920117776,3.4809342861069267e-14,2.009718347115232e-14,238.67819920117773,238.67819920117773,882.552891455704,0.0,0.0,882.552891455704,882.552891455704,1161.0103018116615,0.0,0.0,1161.0103018116615,1161.0103018116615,1613.1365590320083,0.0,0.0,1613.1365590320083,1613.1365590320083,3.0817159959828704,0.0,0.0,3.0817159959828704,3.0817159959828704,0.7129795764669811,0.0,0.0,0.7129795764669811,0.7129795764669811,,,,,,,,,,,,,,,,,,,,
element_reference,Element-reference calibration,1.0,test,3,3711.0,0.0,0.0,3711.0,3711.0,103.9890722689754,0.0,0.0,103.9890722689754,103.9890722689754,166.80174919763675,0.0,0.0,166.80174919763675,166.80174919763675,65.15005878055958,0.0,0.0,65.15005878055958,65.15005878055958,233.40382525904445,0.0,0.0,233.40382525904445,233.40382525904445,364.1270690313595,0.0,0.0,364.1270690313595,364.1270690313595,661.721026863001,0.0,0.0,661.721026863001,661.721026863001,-4.354698229303334,0.0,0.0,-4.354698229303334,-4.354698229303334,0.9724004386082528,0.0,0.0,0.9724004386082528,0.9724004386082528,,,,,,,,,,,,,,,,,,,,
element_reference_internal,Internal element-reference anchor,1.0,test,9,3711.0,0.0,0.0,3711.0,3711.0,103.98907793163102,0.0,0.0,103.98907793163102,103.98907793163102,166.80174475747486,0.0,0.0,166.80174475747486,166.80174475747486,65.14996970753239,0.0,0.0,65.14996970753239,65.14996970753239,233.40343642123096,0.0,0.0,233.40343642123096,233.40343642123096,364.12694344604535,0.0,0.0,364.12694344604535,364.12694344604535,661.7212815830902,0.0,0.0,661.7212815830902,661.7212815830902,-4.354596218316328,0.0,0.0,-4.354596218316328,-4.354596218316328,0.9724004400776202,1.1775693440128312e-16,3.925231146709437e-17,0.97240044007762,0.97240044007762,,,,,,,,,,,,,,,,,,,,
feature_stacking,Feature-stacking direct-y baseline,1.0,test,3,3711.0,0.0,0.0,3711.0,3711.0,30.28924000091744,0.12386886440882103,0.07151572221064607,30.158892579965812,30.40541035793374,76.23290095997137,0.6483730875147954,0.37433837661197594,75.48816756259451,76.67172656127718,16.0906497652837,0.3607325959117537,0.20826906135512352,15.781875738984041,16.48715649317245,60.385751546520375,0.34413968826221614,0.1986891416570244,60.02154463664455,60.705503539904,91.13899285539799,0.7851772279471734,0.45332228391686474,90.35649341469309,91.92682074995976,241.73694304534004,5.258844395506742,3.0361952273721724,238.42087702068173,247.8004526455349,-3.1829600031002,1.05484077534071,0.6090126055951526,-4.016601968673839,-1.9970682392748074,0.9942349003844301,9.783206751444687e-05,5.6483370514843546e-05,0.994168618355403,0.9943472634470438,142.70434991518655,10.601703353002863,6.120896284724761,133.8099160194397,154.4359953403473,195.66666666666666,6.6583281184793925,3.844187531556932,188.0,200.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0
formdelta,Canonical FormDelta fixed-anchor residual,1.0,test,3,3711.0,0.0,0.0,3711.0,3711.0,17.805478010595923,0.37905755700889787,0.2188489825774491,17.431064690047823,18.189015082606574,40.92997288070174,1.55986400391495,0.9005879025595039,39.46378701357561,42.569101113240116,9.128393168885463,0.22843688934465964,0.13188809955598,8.893540902014774,9.349822773285666,35.588151014741776,0.5411276629076476,0.3124202018456834,35.09532257150894,36.16722007507156,57.133856253613736,1.3916356988826992,0.8034612453638195,56.21201519510963,58.73464814207557,159.65679238216921,6.679866009888187,3.856622438959576,154.45191932433943,167.18899383945217,-0.4391911799953235,0.5042747441559442,0.29114315928396406,-0.9864009993090059,0.006791448142063089,0.9983365712381022,0.00012706923239561542,7.336345552932769e-05,0.9982024129174889,0.998455106676736,138.30609480539957,1.716658860022471,0.9911134549407298,136.33540058135986,139.47634959220886,196.33333333333334,3.7859388972001824,2.185812841434,192.0,199.0,498404.0,0.0,0.0,498404.0,498404.0,498643.0,0.0,0.0,498643.0,498643.0
raw,Raw pretrained PBE/GGA predictor,1.0,test,3,3711.0,0.0,0.0,3711.0,3711.0,4511.14619559229,0.0,0.0,4511.14619559229,4511.14619559229,4891.874148198089,0.0,0.0,4891.874148198089,4891.874148198089,4328.789101071778,0.0,0.0,4328.789101071778,4328.789101071778,7004.029861092121,0.0,0.0,7004.029861092121,7004.029861092121,8016.205878182313,0.0,0.0,8016.205878182313,8016.205878182313,9794.516867372044,0.0,0.0,9794.516867372044,9794.516867372044,-4511.14619559229,0.0,0.0,-4511.14619559229,-4511.14619559229,-22.738404734247144,4.351167857633658e-15,2.51214793389404e-15,-22.738404734247148,-22.738404734247148,,,,,,,,,,,,,,,,,,,,
