method,formula_group,n_structures,pair_count,pairwise_order_accuracy,pairwise_tie_rate,top1_correct,spearman_rho,near_degenerate_pair_count,near_degenerate_pair_accuracy,near_degenerate_tie_rate,true_energy_range_mev_atom,pred_energy_range_mev_atom
frozen,Mg(NiO2)2,2,1,1.0,0.0,True,0.9999999999999999,0,,,46.07057071428633,55.14061450958252
frozen,LiFeF4,2,1,1.0,0.0,True,0.9999999999999999,0,,,98.96174999999997,62.06774711608887
frozen,MnO2,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,23.653702499998985,29.24025058746316
frozen,Zn2SiO4,2,1,1.0,0.0,True,0.9999999999999999,0,,,51.58053011904684,20.100116729737216
frozen,Li4MnCo2O7,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,11.77616285714378,33.21421146392844
simple_residual,Li4V3P8O29,3,3,0.0,0.0,False,-1.0,3,0.0,0.0,3.9783946590916663,3.9605000000002555
simple_residual,Li7Mn2(CoO4)3,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,17.12588874999943,0.5027000000001891
simple_residual,LiMn3O6,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,1.810958500000348,12.294799999999828
simple_residual,Bi2Pt,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,10.145128333333114,9.60569
simple_residual,Te2Mo,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,14.670166666666319,66.29223
simple_residual,MnFeCo(PO4)3,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,4.826321666666633,6.947500000000328
simple_residual,SbH3CS2N,2,1,0.0,0.0,False,-0.9999999999999999,0,,,44.47482374999979,277.81696
simple_residual,BaFe4Sn2O11,2,1,0.0,0.0,False,-0.9999999999999999,0,,,40.74049444444494,10.092000000000212
simple_residual,Li5V3P8O29,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,4.247854666666218,6.525300000000289
simple_residual,ZrTi2(PbO3)3,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,8.470960666666638,11.144400000000054
simple_residual,CdI2,4,6,0.6666666666666666,0.0,True,0.39999999999999997,6,0.6666666666666666,0.0,6.41431214285737,18.666799999999984
simple_residual,CrN2,4,6,0.8333333333333334,0.0,True,0.7999999999999999,2,0.5,0.0,147.01220083333422,282.04894
simple_residual,Li9Mn2Co5O16,8,28,0.8928571428571429,0.0,False,0.9047619047619048,14,0.7857142857142857,0.0,61.79282625000005,38.412300000000066
simple_residual,SiO2,5,10,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,292.54352500000147,272.80170000000004
simple_residual,LiCoPO4,4,6,1.0,0.0,True,1.0,2,1.0,0.0,76.20113333333211,120.39399999999966
simple_residual,Li2Cr2O7,3,3,1.0,0.0,True,1.0,1,1.0,0.0,41.94014181818106,54.8267
simple_residual,CeSe2,3,3,1.0,0.0,True,1.0,0,,,445.368716875,165.6985000000002
simple_residual,Li7Mn4CoO12,3,3,1.0,0.0,True,1.0,2,1.0,0.0,30.706641666667256,21.91619999999972
simple_residual,Na5(AsO9)2,2,1,1.0,0.0,True,0.9999999999999999,0,,,288.716625799999,23.186799999999952
simple_residual,Li3MnCoO5,2,1,1.0,0.0,True,0.9999999999999999,0,,,48.65955049999982,32.88139999999995
simple_residual,FeHO2,2,1,1.0,0.0,True,0.9999999999999999,0,,,113.55212671875049,7.704599999999839
simple_residual,LiMnP2O7,2,1,1.0,0.0,True,0.9999999999999999,0,,,36.3000484090894,25.28069999999971
simple_residual,Li7V3P8O29,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,1.0445322340433272,4.706600000000005
simple_residual,Li2MnNi3O8,2,1,1.0,0.0,True,0.9999999999999999,0,,,28.894680000000506,49.6669999999999
simple_residual,LiFePO4,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,23.16401166666804,29.85910000000036
simple_residual,Mn12O5F19,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,1.9605144444438949,2.224299999999957
simple_residual,Li2MnCoO4,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,2.4843112499994824,4.058799999999918
simple_residual,GaCuTe2,2,1,1.0,0.0,True,0.9999999999999999,0,,,204.86582499999977,335.02353600000004
simple_residual,Cr(GeO3)2,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,7.225673333334459,27.89189999999997
simple_residual,LiMnPO4,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,23.38515142857256,13.73269999999982
simple_residual,LiTl2Pd,2,1,1.0,0.0,True,0.9999999999999999,0,,,1207.5157124999998,201.04925
simple_residual,Li3MnV(PO4)3,2,1,1.0,0.0,True,0.9999999999999999,0,,,42.17634337499865,36.504499999999936
simple_residual,LiMn2F5,2,1,1.0,0.0,True,0.9999999999999999,0,,,36.38606729166671,37.60999999999992
simple_residual,Ti(FeO2)2,2,1,1.0,0.0,True,0.9999999999999999,0,,,54.65193392857248,13.19120000000007
simple_residual,Mg(NiO2)2,2,1,1.0,0.0,True,0.9999999999999999,0,,,46.07057071428633,60.18039999999991
simple_residual,LiFeF4,2,1,1.0,0.0,True,0.9999999999999999,0,,,98.96174999999997,63.17569999999995
simple_residual,MnO2,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,23.653702499998985,19.05240000000008
simple_residual,Zn2SiO4,2,1,1.0,0.0,True,0.9999999999999999,0,,,51.58053011904684,21.41459999999995
simple_residual,Li4MnCo2O7,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,11.77616285714378,33.617199999999904
fegx,Li4V3P8O29,3,3,0.0,0.0,False,-1.0,3,0.0,0.0,3.9783946590916663,3.8911999999999836
fegx,Li7Mn2(CoO4)3,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,17.12588874999943,3.2004999999999395
fegx,Na5(AsO9)2,2,1,0.0,0.0,False,-0.9999999999999999,0,,,288.716625799999,65.10029999999989
fegx,LiMn3O6,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,1.810958500000348,23.410799999999952
fegx,Bi2Pt,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,10.145128333333114,49.70147999999999
fegx,Te2Mo,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,14.670166666666319,205.74114000000003
fegx,MnFeCo(PO4)3,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,4.826321666666633,6.38469999999991
fegx,MnO2,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,23.653702499998985,109.3442
fegx,SbH3CS2N,2,1,0.0,0.0,False,-0.9999999999999999,0,,,44.47482374999979,315.59385299999997
fegx,BaFe4Sn2O11,2,1,0.0,0.0,False,-0.9999999999999999,0,,,40.74049444444494,9.500000000000064
fegx,Li5V3P8O29,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,4.247854666666218,8.396499999999918
fegx,ZrTi2(PbO3)3,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,8.470960666666638,55.46470000000036
fegx,CdI2,4,6,0.5,0.0,True,0.19999999999999998,6,0.5,0.0,6.41431214285737,78.92100000000002
fegx,CrN2,4,6,0.6666666666666666,0.0,False,0.6000000000000001,2,0.0,0.0,147.01220083333422,346.35415
fegx,Li9Mn2Co5O16,8,28,0.8214285714285714,0.0,False,0.8333333333333335,14,0.6428571428571429,0.0,61.79282625000005,38.08590000000001
fegx,LiCoPO4,4,6,0.8333333333333334,0.0,False,0.7999999999999999,2,0.5,0.0,76.20113333333211,131.45929999999996
fegx,SiO2,5,10,0.9,0.0,True,0.8999999999999998,1,1.0,0.0,292.54352500000147,336.5353999999998
fegx,Li2Cr2O7,3,3,1.0,0.0,True,1.0,1,1.0,0.0,41.94014181818106,72.43080000000002
fegx,CeSe2,3,3,1.0,0.0,True,1.0,0,,,445.368716875,840.7217499999999
fegx,Li7Mn4CoO12,3,3,1.0,0.0,True,1.0,2,1.0,0.0,30.706641666667256,31.110699999999714
fegx,Li3MnCoO5,2,1,1.0,0.0,True,0.9999999999999999,0,,,48.65955049999982,38.65130000000016
fegx,FeHO2,2,1,1.0,0.0,True,0.9999999999999999,0,,,113.55212671875049,59.14240000000004
fegx,LiMnP2O7,2,1,1.0,0.0,True,0.9999999999999999,0,,,36.3000484090894,29.096900000000314
fegx,Li7V3P8O29,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,1.0445322340433272,5.128600000000372
fegx,Li2MnNi3O8,2,1,1.0,0.0,True,0.9999999999999999,0,,,28.894680000000506,51.601100000000066
fegx,LiFePO4,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,23.16401166666804,58.612600000000015
fegx,Mn12O5F19,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,1.9605144444438949,1.6405000000001557
fegx,Li2MnCoO4,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,2.4843112499994824,5.5675000000001695
fegx,GaCuTe2,2,1,1.0,0.0,True,0.9999999999999999,0,,,204.86582499999977,309.418419
fegx,Cr(GeO3)2,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,7.225673333334459,32.42640000000008
fegx,LiMnPO4,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,23.38515142857256,0.41629999999992506
fegx,LiTl2Pd,2,1,1.0,0.0,True,0.9999999999999999,0,,,1207.5157124999998,1994.7938
fegx,Li3MnV(PO4)3,2,1,1.0,0.0,True,0.9999999999999999,0,,,42.17634337499865,37.732600000000005
fegx,LiMn2F5,2,1,1.0,0.0,True,0.9999999999999999,0,,,36.38606729166671,46.66270000000017
fegx,Ti(FeO2)2,2,1,1.0,0.0,True,0.9999999999999999,0,,,54.65193392857248,6.613999999999898
fegx,Mg(NiO2)2,2,1,1.0,0.0,True,0.9999999999999999,0,,,46.07057071428633,69.19970000000019
fegx,LiFeF4,2,1,1.0,0.0,True,0.9999999999999999,0,,,98.96174999999997,50.57840000000002
fegx,Zn2SiO4,2,1,1.0,0.0,True,0.9999999999999999,0,,,51.58053011904684,5.555999999999894
fegx,Li4MnCo2O7,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,11.77616285714378,21.006800000000105
lora,Li4V3P8O29,3,3,0.0,0.0,False,-1.0,3,0.0,0.0,3.9783946590916663,3.8602352142329543
lora,Li7Mn2(CoO4)3,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,17.12588874999943,0.4845857620239258
lora,LiMn3O6,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,1.810958500000348,7.460594177246538
lora,Bi2Pt,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,10.145128333333114,17.0281529426575
lora,Te2Mo,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,14.670166666666319,66.9117271900177
lora,MnFeCo(PO4)3,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,4.826321666666633,6.798744201660156
lora,SbH3CS2N,2,1,0.0,0.0,False,-0.9999999999999999,0,,,44.47482374999979,285.43920814991
lora,BaFe4Sn2O11,2,1,0.0,0.0,False,-0.9999999999999999,0,,,40.74049444444494,9.337425231933594
lora,Li5V3P8O29,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,4.247854666666218,6.392955780029741
lora,ZrTi2(PbO3)3,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,8.470960666666638,11.019229888916016
lora,CdI2,4,6,0.6666666666666666,0.0,True,0.39999999999999997,6,0.6666666666666666,0.0,6.41431214285737,10.325133800506592
lora,CrN2,4,6,0.8333333333333334,0.0,True,0.7999999999999999,2,0.5,0.0,147.01220083333422,250.9262859821319
lora,Li9Mn2Co5O16,8,28,0.8928571428571429,0.0,False,0.9047619047619048,14,0.7857142857142857,0.0,61.79282625000005,37.561893463134766
lora,SiO2,5,10,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,292.54352500000147,275.34532546997116
lora,LiCoPO4,4,6,1.0,0.0,True,1.0,2,1.0,0.0,76.20113333333211,115.81587791442827
lora,Li2Cr2O7,3,3,1.0,0.0,True,1.0,1,1.0,0.0,41.94014181818106,56.543350219725895
lora,CeSe2,3,3,1.0,0.0,True,1.0,0,,,445.368716875,164.50560092926048
lora,Li7Mn4CoO12,3,3,1.0,0.0,True,1.0,2,1.0,0.0,30.706641666667256,21.429061889647993
lora,Na5(AsO9)2,2,1,1.0,0.0,True,0.9999999999999999,0,,,288.716625799999,20.986080169677514
lora,Li3MnCoO5,2,1,1.0,0.0,True,0.9999999999999999,0,,,48.65955049999982,32.05049037933394
lora,FeHO2,2,1,1.0,0.0,True,0.9999999999999999,0,,,113.55212671875049,25.88212490081787
lora,LiMnP2O7,2,1,1.0,0.0,True,0.9999999999999999,0,,,36.3000484090894,23.73504638671875
lora,Li7V3P8O29,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,1.0445322340433272,4.605531692504883
lora,Li2MnNi3O8,2,1,1.0,0.0,True,0.9999999999999999,0,,,28.894680000000506,48.72703552246072
lora,LiFePO4,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,23.16401166666804,30.30776977539107
lora,Mn12O5F19,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,1.9605144444438949,2.171754837036133
lora,Li2MnCoO4,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,2.4843112499994824,5.383729934692605
lora,GaCuTe2,2,1,1.0,0.0,True,0.9999999999999999,0,,,204.86582499999977,352.5573164224625
lora,Cr(GeO3)2,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,7.225673333334459,33.299803733825684
lora,LiMnPO4,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,23.38515142857256,15.727043151855913
lora,LiTl2Pd,2,1,1.0,0.0,True,0.9999999999999999,0,,,1207.5157124999998,201.66443288326258
lora,Li3MnV(PO4)3,2,1,1.0,0.0,True,0.9999999999999999,0,,,42.17634337499865,37.82248497009277
lora,LiMn2F5,2,1,1.0,0.0,True,0.9999999999999999,0,,,36.38606729166671,37.78815269470215
lora,Ti(FeO2)2,2,1,1.0,0.0,True,0.9999999999999999,0,,,54.65193392857248,14.83368873596147
lora,Mg(NiO2)2,2,1,1.0,0.0,True,0.9999999999999999,0,,,46.07057071428633,54.41749095916748
lora,LiFeF4,2,1,1.0,0.0,True,0.9999999999999999,0,,,98.96174999999997,61.36512756347656
lora,MnO2,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,23.653702499998985,28.882861137389916
lora,Zn2SiO4,2,1,1.0,0.0,True,0.9999999999999999,0,,,51.58053011904684,19.79517936706543
lora,Li4MnCo2O7,2,1,1.0,0.0,True,0.9999999999999999,1,1.0,0.0,11.77616285714378,32.834053039551
full_ft,Li4V3P8O29,3,3,0.0,0.0,False,-1.0,3,0.0,0.0,3.9783946590916663,4.245996475219727
full_ft,Na5(AsO9)2,2,1,0.0,0.0,False,-0.9999999999999999,0,,,288.716625799999,23.91993999481201
full_ft,LiMn3O6,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,1.810958500000348,9.015560150146706
full_ft,Bi2Pt,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,10.145128333333114,37.36279904842371
full_ft,LiFePO4,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,23.16401166666804,32.31167793273926
full_ft,Te2Mo,2,1,0.0,0.0,False,-0.9999999999999999,1,0.0,0.0,14.670166666666319,79.659104347229
